#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=60 keyint_min=31 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:30.03 aq:24.07 tex:136302 mv:22427 misc:159 imb:1620 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:30.03 aq:23.63 tex:11900 mv:2980 misc:1528 imb:111 pmb:484 smb:1025 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:30.03 aq:27.85 tex:1572 mv:807 misc:677 imb:12 pmb:98 smb:1510 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:30.03 aq:22.85 tex:355 mv:361 misc:508 imb:3 pmb:58 smb:1559 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:30.03 aq:22.30 tex:215 mv:80 misc:281 imb:1 pmb:18 smb:1601 d:- ref:0 ;
in:9 out:5 type:P dur:2 cpbdur:2 q:30.03 aq:23.16 tex:14065 mv:4360 misc:1535 imb:144 pmb:555 smb:921 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:30.03 aq:27.13 tex:3551 mv:3493 misc:1164 imb:54 pmb:393 smb:1173 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:30.03 aq:27.61 tex:525 mv:1170 misc:785 imb:14 pmb:134 smb:1472 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:30.03 aq:27.52 tex:221 mv:365 misc:406 imb:1 pmb:47 smb:1572 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:30.03 aq:28.07 tex:384 mv:618 misc:494 imb:3 pmb:74 smb:1543 d:- ref:0 ;
in:13 out:10 type:P dur:2 cpbdur:2 q:30.03 aq:23.95 tex:18095 mv:4957 misc:1596 imb:207 pmb:556 smb:857 d:- ref:0 ;
